Gr Liv Area,Overall Qual,Year Built,SalePrice
1190,5,1962,132500
1144,5,1959,143000
1364,5,1957,132000
1383,6,1960,145250
1336,6,1958,162000
1370,5,1956,148000
1092,5,1957,141000
1124,6,1956,153000
1236,5,1957,134450
943,5,1979,135960
1050,6,1954,156000
1375,6,1954,140000
1008,5,1952,139500
1575,6,1951,155000
1145,5,1956,127000
1005,5,1956,133500
1056,5,1955,125000
884,5,1951,142000
2039,7,1941,167000
1384,5,1956,159000
2640,5,1925,180000
1312,6,1947,127000
1310,6,1924,112000
713,3,1930,99800
833,5,1954,117000
1073,5,1921,108480
715,3,1929,68000
720,4,1900,86900
1130,5,1920,120000
1595,6,1915,155500
1760,4,1910,80000
1214,3,1915,105000
2414,5,1900,160000
1466,5,1936,170000
1324,6,1965,160000
1086,5,1966,159950
1146,6,1963,165000
1734,6,1962,159000
1207,6,1962,147000
912,5,1964,115000
1194,6,1959,159500
864,6,1959,120000
816,5,1957,129900
1773,6,1961,183000
1472,7,1959,157500
2448,7,1962,277500
1600,5,1957,207500
1521,4,1950,147500
1192,4,1949,135000
1040,5,1950,109500
1040,4,1950,109900
1040,5,1959,133700
1040,3,1950,81400
1040,3,1949,87500
1040,3,1950,93500
1556,5,1960,119000
1150,5,1959,141000
1150,5,1961,146000
1348,6,1966,155000
999,5,1962,134500
1045,7,1962,120000
864,5,1962,105000
1025,5,1962,124000
2014,5,1900,169000
1328,4,1925,107000
1668,5,1948,135000
1657,4,1920,111500
1416,6,1900,156500
1641,7,1925,178000
1428,7,1900,139900
1004,7,1930,105000
813,6,1930,110000
1951,4,1900,111500
1032,6,1924,108000
844,5,1925,111500
1750,5,1880,124000
864,4,1950,105000
1118,6,1920,116000
1376,3,1905,96900
960,5,1955,135500
1566,5,1924,139000
492,3,1921,61500
1182,6,1945,120000
1163,3,1955,126175
840,3,1920,64000
1928,6,1910,137000
1774,4,1900,87000
1768,7,1914,163000
2104,7,1910,155000
1440,5,1900,79000
1690,7,1916,144000
1368,6,1910,114504
1762,7,1920,157000
1200,6,1923,125000
3608,10,1892,475000
1248,5,1920,93500
960,5,1958,125000
1020,3,1918,64500
788,4,1941,100000
1577,6,1939,140200
1827,6,1924,202500
1664,6,1947,159000
1118,5,1939,119900
1176,6,1934,114500
1344,5,1936,115000
1162,3,1930,75000
1015,5,1925,88000
912,4,1947,80500
1576,5,1928,149000
1324,5,1930,110000
1103,6,1925,110500
616,5,1921,89000
1048,5,1922,113000
816,5,1925,109000
2486,6,1962,220000
960,4,1970,129000
1635,6,1910,117000
693,4,1941,52500
1430,4,1924,107000
1330,5,1910,116500
819,5,1919,72000
1376,6,1937,119500
1360,5,1938,125500
1077,3,1922,91000
754,6,1935,84500
984,6,1930,90000
1422,5,1951,137500
1921,6,1964,150000
1640,5,1950,131000
1352,5,1958,130000
1032,5,1935,125000
879,5,1936,80000
1073,7,2004,157000
1382,4,1963,148000
1296,4,1967,90000
1068,6,1963,154500
1064,5,1967,153600
1320,5,1966,164500
934,6,1964,132000
1059,5,1966,142500
1159,5,1968,158000
1400,6,1978,149500
1458,5,1967,165000
1721,5,1968,180000
1040,6,1978,160500
1967,5,1977,156500
1949,5,1977,157000
1920,5,1958,172500
1803,5,1957,155000
1779,5,1955,170000
872,5,1924,105000
960,4,1965,145000
1437,5,1956,168000
1830,7,1967,278000
1000,5,1963,164000
2287,7,1953,225000
810,5,1971,130000
894,5,1974,142500
1700,7,1980,148400
1453,7,1986,190000
1350,4,1954,146000
1150,5,1942,128000
2008,5,1948,225000
2201,6,1966,274970
2009,6,1928,235000
3672,6,1935,415000
1560,5,1962,182000
1488,5,1952,135000
1057,5,1955,137000
1855,6,1954,136900
1609,6,1953,149900
1148,5,1952,123500
1124,5,1954,93000
1456,5,1948,91500
1298,6,1985,180000
2559,6,1989,209000
1911,8,1993,215000
1440,6,1993,224500
1876,7,2005,229800
1208,7,2005,183600
1220,7,2006,194000
1294,7,2006,193879
1614,7,2005,221500
1498,7,2006,204900
1962,7,2006,239799
1846,6,2006,233555
1734,7,2005,260000
1590,8,2005,294900
1809,7,2005,209700
1614,7,2005,225000
1596,7,2005,181000
1915,8,1992,220000
1582,5,1964,190000
988,6,1969,180000
1533,7,1975,280000
1388,6,1968,158900
914,5,1996,148000
1100,5,1996,145000
1499,6,1995,187000
1425,7,1998,193000
990,5,1995,156000
1525,7,2000,235000
1494,6,1997,217000
1588,7,1999,214000
1749,7,1999,196000
1779,7,1999,217000
1861,7,2002,200000
1776,7,2002,192500
1541,7,2001,205000
954,5,1976,132500
1388,6,1977,157500
1282,6,1978,174000
971,5,1969,128500
864,5,1972,128500
894,5,1972,149900
864,5,1972,119900
1320,6,1993,137000
1989,8,2002,255000
1762,7,2002,222000
1755,6,1999,214000
1358,8,2002,220000
1787,8,2001,275000
1909,7,2002,197000
1654,7,2002,230000
2214,8,1999,268500
2049,7,1996,210900
1939,7,1998,227000
1995,7,1995,237000
2097,7,1998,274300
1836,7,2004,216837
848,6,2003,133000
848,6,2004,155900
1919,8,2006,233230
1390,7,2003,207000
1948,7,2004,195000
1700,6,2003,200000
1737,7,2006,203160
1611,7,2005,195800
1552,7,2005,212900
1720,7,2004,196500
1336,7,2005,198000
1500,6,2005,173900
1456,6,2005,163990
1310,7,2005,164990
1436,4,1910,98000
1466,5,1959,149900
1220,4,1951,102000
1012,6,1975,127500
980,6,1975,127500
1176,5,1969,119900
1724,7,2003,196500
914,6,2002,117250
2314,7,2003,229000
1072,5,2005,145000
1072,6,2005,140000
1072,6,2005,142500
1709,7,2004,134000
1709,7,2004,130000
1709,6,2004,130000
1709,7,2004,137500
1708,7,2004,130000
936,4,1948,97900
1338,6,1915,92000
1669,4,1924,107000
1184,5,1910,81000
1221,5,1924,104900
864,5,1955,115000
1482,4,1954,125000
1250,5,1918,116000
1414,4,1922,83000
2230,4,1912,118500
498,2,1922,35000
1273,4,1910,121000
1928,5,1916,160000
1595,6,1940,140000
1551,5,1938,137000
1340,6,1945,128000
1479,7,1926,160000
1784,5,1914,138887
1510,6,1920,149000
1522,5,1926,102000
1636,7,1919,167000
1802,7,1920,200100
1465,5,1939,131000
1288,5,1941,112000
1717,7,1915,140000
1550,6,1920,195000
1517,8,1929,230000
1717,5,1940,194000
1180,4,1922,137500
2057,7,1936,250000
1671,7,1929,218000
2345,6,1932,239000
1609,7,1932,199500
1801,6,1930,210000
1811,6,1956,230000
1647,5,1977,217500
2315,5,1950,257000
1336,5,1953,157000
1844,6,1969,223000
976,5,1942,102000
1285,6,1926,145400
672,4,1925,72000
641,4,1925,85000
951,4,1936,106500
1638,6,1957,139000
1336,4,1920,108000
729,3,1945,51689
480,2,1949,35311
1396,5,1951,115000
936,3,1916,78000
1778,8,2005,375000
1646,8,2004,300000
1625,6,1979,242500
1664,6,1978,145000
1491,8,2001,209000
1004,6,1977,135000
1210,6,1975,148000
1959,7,1988,171000
2519,7,1989,335000
1295,7,1986,230000
1650,6,1958,250764
1707,8,1981,228000
1137,6,1987,176000
1339,7,1990,180000
2514,7,1990,250000
1403,6,2000,202000
1800,8,2002,312500
1960,8,2005,320000
2028,8,2005,369900
1838,9,2005,359900
1600,1,1951,81500
1368,7,1997,215000
1216,6,1998,164000
1337,6,1998,153500
1140,5,2006,84500
1304,5,1977,104500
1475,5,1977,127000
2521,6,1973,151400
874,5,1968,126500
1652,5,1970,146500
630,4,1970,73000
1092,4,1972,79400
1360,5,1969,140000
630,5,1970,92000
1092,4,1970,87550
1092,4,1970,79500
1092,4,1970,90500
1092,4,1970,71000
1728,6,1976,150900
1728,5,1976,188000
1126,5,1977,160000
1224,5,1960,131000
1003,6,1984,142500
902,5,1983,131000
970,5,1992,132000
1389,5,1974,170000
2000,7,1993,188000
